City_State,City,State, Postal, Latitude, Longitude, Number of POI
Sturbridge_MA,Sturbridge,MA,1566,42.112846,-72.095053,1
Upton_MA,Upton,MA,1568,42.1634,-71.615874,7
Uxbridge_MA,Uxbridge,MA,1569,42.083795,-71.62569,3
Webster_MA,Webster,MA,1570,42.043055,-71.868651,18
Dudley_MA,Dudley,MA,1571,42.057329,-71.885883,4
Westborough_MA,Westborough,MA,1581,42.293114,-71.604186,9
West Boylston_MA,West Boylston,MA,1583,42.37216,-71.786946,2
West Brookfield_MA,West Brookfield,MA,1585,42.238728,-72.132807,1
Whitinsville_MA,Whitinsville,MA,1588,42.108739,-71.657105,9
Sutton_MA,Sutton,MA,1590,42.142559,-71.773685,4
Worcester_MA,Worcester,MA,1602,42.269346,-71.820391,14
Worcester_MA,Worcester,MA,1603,42.24787,-71.82468,23
Worcester_MA,Worcester,MA,1604,42.256451,-71.787384,17
Worcester_MA,Worcester,MA,1605,42.272986,-71.809659,44
Worcester_MA,Worcester,MA,1606,42.305635,-71.801599,22
Worcester_MA,Worcester,MA,1607,42.233786,-71.79619,14
Worcester_MA,Worcester,MA,1608,42.252955,-71.80009,7
Worcester_MA,Worcester,MA,1609,42.263347,-71.806168,34
Worcester_MA,Worcester,MA,1610,42.254456,-71.818923,30
Paxton_MA,Paxton,MA,1612,42.309645,-71.928445,1
Framingham_MA,Framingham,MA,1701,42.293782,-71.416794,26
Framingham_MA,Framingham,MA,1702,42.280787,-71.414688,41
Boxborough_MA,Boxborough,MA,1719,42.48182,-71.50605,1
Acton_MA,Acton,MA,1720,42.482,-71.4714,7
Ashland_MA,Ashland,MA,1721,42.263602,-71.444304,13
Bedford_MA,Bedford,MA,1730,42.49136,-71.285,4
Bedford_MA,Bedford,MA,1731,42.4581,-71.2802,1
Hanscom Air Force Bs_MA,Hanscom Air Force Bs,MA,1731,42.4564,-71.27692,1
Bolton_MA,Bolton,MA,1740,42.429457,-71.608827,2
Carlisle_MA,Carlisle,MA,1741,42.526648,-71.348978,5
Concord_MA,Concord,MA,1742,42.45366,-71.346222,11
Holliston_MA,Holliston,MA,1746,42.205186,-71.442762,8
Hopedale_MA,Hopedale,MA,1747,42.12889,-71.53757,3
Hopkinton_MA,Hopkinton,MA,1748,42.21776,-71.51917,6
Hudson_MA,Hudson,MA,1749,42.399875,-71.575137,11
Marlborough_MA,Marlborough,MA,1752,42.333694,-71.577368,33
Maynard_MA,Maynard,MA,1754,42.42197,-71.45282,15
Mendon_MA,Mendon,MA,1756,42.10891,-71.556486,2
Milford_MA,Milford,MA,1757,42.149983,-71.528635,8
Natick_MA,Natick,MA,1760,42.308091,-71.358509,10
Sherborn_MA,Sherborn,MA,1770,42.248068,-71.364039,1
Southborough_MA,Southborough,MA,1772,42.29945,-71.54179,4
Lincoln_MA,Lincoln,MA,1773,42.425135,-71.313783,1
Stow_MA,Stow,MA,1775,42.437512,-71.508217,6
Sudbury_MA,Sudbury,MA,1776,42.39789,-71.39762,9
Wayland_MA,Wayland,MA,1778,42.329307,-71.347218,8
Woburn_MA,Woburn,MA,1801,42.46421,-71.17661,15
Burlington_MA,Burlington,MA,1803,42.496218,-71.198108,6
Andover_MA,Andover,MA,1810,42.657463,-71.155895,15
Billerica_MA,Billerica,MA,1821,42.561225,-71.273222,15
Chelmsford_MA,Chelmsford,MA,1824,42.573238,-71.382307,6
Dracut_MA,Dracut,MA,1826,42.676093,-71.337812,13
Dunstable_MA,Dunstable,MA,1827,42.673248,-71.482477,1
Haverhill_MA,Haverhill,MA,1830,42.77536,-71.05831,23
Haverhill_MA,Haverhill,MA,1832,42.76571,-71.120297,14
Georgetown_MA,Georgetown,MA,1833,42.72413,-70.98648,3
Groveland_MA,Groveland,MA,1834,42.74285,-71.02386,2
Haverhill_MA,Haverhill,MA,1835,42.75933,-71.08669,2
Bradford_MA,Bradford,MA,1835,42.75732,-71.06949,1
Lawrence_MA,Lawrence,MA,1840,42.709531,-71.167776,25
Lawrence_MA,Lawrence,MA,1841,42.708537,-71.173638,61
Lawrence_MA,Lawrence,MA,1843,42.69443,-71.16693,14
Methuen_MA,Methuen,MA,1844,42.746125,-71.13219,22
North Andover_MA,North Andover,MA,1845,42.67081,-71.09821,12
Lowell_MA,Lowell,MA,1850,42.66033,-71.302261,2
Lowell_MA,Lowell,MA,1851,42.621314,-71.335656,11
Lowell_MA,Lowell,MA,1852,42.645279,-71.311481,67
Lowell_MA,Lowell,MA,1854,42.641418,-71.312027,31
Merrimac_MA,Merrimac,MA,1860,42.82794,-71.00522,2
North Billerica_MA,North Billerica,MA,1862,42.56362,-71.2943,1
Billerica_MA,Billerica,MA,1862,42.585364,-71.279191,1
North Chelmsford_MA,North Chelmsford,MA,1863,42.622657,-71.379345,2
North Reading_MA,North Reading,MA,1864,42.56967,-71.12085,5
Reading_MA,Reading,MA,1867,42.52167,-71.12402,21
Tewksbury_MA,Tewksbury,MA,1876,42.601489,-71.213741,10
Tyngsboro_MA,Tyngsboro,MA,1879,42.658771,-71.408137,1
Tyngsborough_MA,Tyngsborough,MA,1879,42.65401,-71.386261,4
Wakefield_MA,Wakefield,MA,1880,42.49532,-71.04399,23
Westford_MA,Westford,MA,1886,42.569875,-71.409147,11
Wilmington_MA,Wilmington,MA,1887,42.546627,-71.188467,12
Winchester_MA,Winchester,MA,1890,42.44563,-71.15628,9
Lynn_MA,Lynn,MA,1901,42.464464,-70.943327,24
